,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
323,成都延华西部健康医疗信息产业研究院有限公司,延华医疗研究院,150-500人,上市公司,温江区,WEB前端开发中级（业务方向）,3-5年,本科,6k-11k,工作环境好 团队氛围融洽,"IT技术服务｜咨询,数据服务｜咨询",开发|测试|运维类,"股票期权,绩效奖金,带薪年假,交通补助",前端开发,成都
324,深圳市盛达瑞智能科技有限公司,深圳市盛达瑞智能科技有限公司,150-500人,不需要融资,南山区,web前端开发工程师,3-5年,本科,10k-20k,五险一金、周末双休、带薪年假、月度团建,人工智能服务,开发|测试|运维类,"绩效奖金,带薪年假,五险一金,年终奖金",前端开发,深圳
325,深圳市懒人在线科技有限公司,懒人听书,150-500人,C轮,南山区,web前端工程师,3-5年,大专,12k-20k,五天七小时 年度旅游 成长空间大,音频｜视频媒体,开发|测试|运维类,"五险一金,年度旅游,弹性工作,节日礼物",前端开发,深圳
326,北京亚鸿世纪科技发展有限公司,亚鸿世纪,500-2000人,不需要融资,海淀区,web前端开发工程师,3-5年,本科,10k-15k,六险一金、朝九晚五、健身房、丰厚的年终奖,移动互联网,开发|测试|运维类,"带薪年假,岗位晋升,五险一金,午餐补助",前端开发,北京
327,北京三快在线科技有限公司,美团,2000人以上,上市公司,朝阳区,基础技术部-Web前端开发-项目管理工具方向,1-3年,本科,30k-45k,平台大 大牛多,消费生活,开发|测试|运维类,"技能培训,绩效奖金,岗位晋升,领导好",移动前端开发,北京
328,深圳市点证科技有限公司,点证,50-150人,未融资,福田区,web前端开发工程师,3-5年,大专,11k-16k,五险一金，带薪年假，融洽相处的团队氛围；,科技金融,开发|测试|运维类,"定期体检,股票期权,年终分红,年度旅游",前端开发,深圳
329,成都哈云科技有限公司,哈云,15-50人,未融资,青羊区,web前端开发工程师,3-5年,大专,9k-11k,纯互联网产品，做精品产品,在线教育,开发|测试|运维类,"领导好,节奏快,极扁管理",前端开发,成都
330,新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,web前端开发工程师（保险业务）,3-5年,本科,15k-20k,五险一金，公司食堂，团队氛围好，成长空间,"内容资讯,社交媒体",开发|测试|运维类,"免费班车,岗位晋升,五险一金,定期体检",前端开发,北京
331,澳门极易付股份有限公司,极易付,50-150人,未融资,天河区,web前端开发工程师,1-3年,大专,8k-12k,五险一金、周末双休、年度体检、年假,科技金融,开发|测试|运维类,"绩效奖金,带薪年假,五险一金",前端开发,广州
332,深圳市蛋壳创意科技有限公司,蛋壳创意科技,50-150人,未融资,龙岗区,web前端开发工程师,1-3年,大专,12k-15k,五险一金、住房补贴、全勤奖、带薪事假，双休,软件服务｜咨询,开发|测试|运维类,,前端开发,深圳
333,北京三快在线科技有限公司,美团,2000人以上,上市公司,长宁区,基础技术部-Web前端工程师-运维与前端,1-3年,本科,25k-45k,大平台 福利好,消费生活,开发|测试|运维类,"技能培训,绩效奖金,岗位晋升,领导好",移动前端开发,上海
334,上海黄豆网络科技有限公司,樊登读书,150-500人,A轮,长宁区,web前端工程师,3-5年,本科,15k-30k,福利待遇 晋升途径,"内容社区,在线教育",开发|测试|运维类,"节日礼物,股票期权,带薪年假,绩效奖金",前端开发,上海
335,深圳市时代华盛网络科技有限公司,华盛通,150-500人,不需要融资,南山区,web前端开发工程师,3-5年,本科,12k-24k,互联网券商、高速发展、技术分享、福利好,"软件服务｜咨询,科技金融",开发|测试|运维类,"带薪年假,股票期权,定期体检,扁平管理",前端开发,深圳
336,成都蜗牛创想科技有限公司,信息技术、软件开发、测试及应用,50-150人,不需要融资,高新区,web前端开发讲师,3-5年,本科,12k-20k,五险一金、十三薪、出国旅游、年假,在线教育,教育|培训,"年底双薪,带薪年假,定期体检,绩效奖金",教师,成都
337,上海漫微信息技术有限公司,漫微科技,500-2000人,B轮,徐汇区,高级web前端开发工程师,5-10年,大专,20k-35k,海底捞背景 研发团队超300人 大牛众多,软件服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,专项奖金,绩效奖金",前端开发,上海
338,上海漫微信息技术有限公司,漫微科技,500-2000人,B轮,徐汇区,web前端开发工程师,3-5年,本科,15k-30k,海底捞背景 研发团队超300人 大牛众多,软件服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,专项奖金,绩效奖金",前端开发,上海
339,上海薄荷信息科技有限公司,薄荷,150-500人,C轮,浦东新区,高级web前端工程师,3-5年,不限,18k-25k,技术氛围 发展潜力,工具类产品,开发|测试|运维类,"绩效奖金,年度旅游,五险一金,股票期权",前端开发,上海
340,广东宜教通教育有限公司,宜教通教育,150-500人,不需要融资,黄埔区,WEB前端开发工程师,3-5年,本科,10k-15k,多次调薪、加班补助、补充医疗、购买社保,"移动互联网,教育",开发|测试|运维类,"年底双薪,年终分红,带薪年假,股票期权",前端开发,广州
341,天津紫龙奇点互动娱乐有限公司,紫龙互娱,150-500人,A轮,朝阳区,web前端开发工程师,3-5年,本科,15k-20k,专业大牛带队,游戏,开发|测试|运维类,"带薪年假,年度境外游,定期体检,午餐补助",前端开发,北京
342,地坪线（北京）科技有限公司,地坪线,150-500人,未融资,海淀区,高级web前端开发工程师,3-5年,本科,20k-40k,14薪，全额社保公积金,电商平台,开发|测试|运维类,,前端开发,北京
343,北京多来点信息技术有限公司,哗啦啦,500-2000人,B轮,西城区,web前端高级开发工程师-ERP/供应链方向,5-10年,本科,20k-35k,带薪年假 专业培训 五险 双休 团建,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,领导好,带薪年假",前端开发,北京
344,北京企企科技有限公司,企企科技,150-500人,A轮,高新区,高级web前端,3-5年,本科,20k-30k,上班不打卡 全额社保公积金,IT技术服务｜咨询,开发|测试|运维类,"年底双薪,股票期权,绩效奖金,带薪年假",前端开发,成都
345,安徽科大国创软件科技有限公司,科大国创,500-2000人,上市公司,洪山区,web前端开发工程师（湖北省潜江市）,1-3年,本科,6k-10k,国家电网,"企业服务,人工智能",开发|测试|运维类,,前端开发,武汉
346,深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,南山区,web前端开发工程师,1-3年,本科,13k-18k,年终奖金、五险一金、带薪年假,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"激情的团队,股票期权,努力变大牛,有舞台给您跳",前端开发,深圳
347,富盛科技股份有限公司,富盛科技,500-2000人,不需要融资,丰台区,web前端,1-3年,本科,10k-15k,团队氛围好,专业服务｜咨询,开发|测试|运维类,"年底双薪,年终分红,绩效奖金,交通补助",前端开发,北京
348,福州蔻瑞达网络科技有限公司,福州蔻瑞达网络科技有限公司,15-50人,未融资,台江区,web前端工程师,1-3年,大专,6k-9k,双休、13薪，带薪假期,文化传媒,开发|测试|运维类,"年底双薪,交通补助,带薪年假,绩效奖金",前端开发,福州
349,北京泛为信息科技有限公司,泛为,150-500人,不需要融资,浦东新区,web前端开发工程师,3-5年,本科,15k-30k,团队氛围好 六险一金,营销服务｜咨询,开发|测试|运维类,"带薪年假,午餐补助,弹性工作,免费班车",前端开发,上海
350,腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,Web前端开发工程师,3-5年,本科,20k-40k,福利好 职业发展空间大,"游戏,社交媒体,音频｜视频媒体",开发|测试|运维类,"免费班车,成长空间,年度旅游,岗位晋升",前端开发,深圳
351,腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,Web前端高级工程师（深圳）,3-5年,本科,18k-30k,"绩效奖金,五险一金,带薪休假","游戏,社交媒体,音频｜视频媒体",开发|测试|运维类,"免费班车,成长空间,年度旅游,岗位晋升",移动前端开发,深圳
352,深圳市易佰网络科技有限公司,易佰网络科技,2000人以上,B轮,龙岗区,web前端工程师,3-5年,大专,11k-16k,团队成熟 晋升快,"电商平台,IT技术服务｜咨询",开发|测试|运维类,"绩效奖金,领导好,美女多,扁平管理",前端开发,深圳
353,广东宜教通教育有限公司,宜教通教育,150-500人,不需要融资,黄埔区,web前端开发工程师（初级）,1-3年,本科,5k-10k,每年多次调薪，年终奖，过节礼，加班补助、社保,"移动互联网,教育",开发|测试|运维类,"年底双薪,年终分红,带薪年假,股票期权",前端开发,广州
354,北京多来点信息技术有限公司,哗啦啦,500-2000人,B轮,历下区,web前端开发工程师,3-5年,本科,8k-13k,绩效奖金 技能培训 岗位晋升 带薪年假,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,领导好,带薪年假",前端开发,济南
355,深圳麦风科技有限公司,麦风科技,150-500人,不需要融资,宝安区,高级Web前端工程师,5-10年,本科,16k-25k,"晋升机会多,人性化管理,年终奖多",软件服务｜咨询,开发|测试|运维类,"节日礼物,年底双薪,带薪年假,绩效奖金",前端开发,深圳
356,安徽科大国创软件科技有限公司,科大国创,500-2000人,上市公司,江宁区,web前端开发工程师,1-3年,大专,7k-13k,包三餐包吃,"企业服务,人工智能",开发|测试|运维类,,前端开发,南京
357,安徽科大国创软件科技有限公司,科大国创,500-2000人,上市公司,建邺区,web前端开发,1-3年,大专,9k-13k,团队分工明细，氛围愉快。,"企业服务,人工智能",开发|测试|运维类,,前端开发,南京
358,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,越秀区,web前端开发工程师,3-5年,本科,10k-15k,发展迅速，线上教育，周末双休，9点半上班,在线教育,开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",前端开发,广州
359,深圳看到科技有限公司,看到科技,50-150人,B轮,南山区,web前端开发工程师,5-10年,本科,13k-26k,"商业保险,年终奖,绩效奖",智能硬件,开发|测试|运维类,"年底双薪,绩效奖金,股票期权,五险一金",移动前端开发,深圳
360,北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,web前端开发工程师,3-5年,本科,20k-40k,大牛云集,在线教育,开发|测试|运维类,"上市公司,领军企业,五险一金,住福计划",前端开发,北京
361,河南国超电子商务有限公司,国超科技,150-500人,未融资,南山区,web/H5前端开发工程师,5-10年,本科,9k-18k,13薪、全勤奖、五险一金、下午茶、不定期团建,"人工智能服务,社交平台",开发|测试|运维类,"绩效奖金,节日礼物,岗位晋升,技能培训",前端开发,深圳
362,杭州观远数据有限公司,观远数据,150-500人,B轮,余杭区,web前端工程师,不限,本科,13k-25k,行业前景好，成长空间大，独当一面,数据服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,弹性工作,扁平管理",前端开发,杭州
363,上海易立德信息技术股份有限公司,易立德,500-2000人,不需要融资,龙岗区,web前端开发工程师,3-5年,本科,14k-25k,领导nice，团队协作，自我发展,移动互联网,开发|测试|运维类,,前端开发,深圳
