,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
163,深圳云麦科技有限公司,云麦YUNMAI,150-500人,C轮,南山区,ios开发工程师,3-5年,本科,10k-20k,扁平化管理、团队氛围好、平台好,"移动互联网,硬件",开发|测试|运维类,"节日礼物,技能培训,年底双薪,股票期权",移动前端开发,深圳
164,上海悟景信息科技有限公司,悟景,50-150人,未融资,浦东新区,ios开发工程师,3-5年,大专,17k-23k,五险一金 年终奖金 节假日福利 绩效奖金,IT技术服务｜咨询,开发|测试|运维类,"弹性工作,节日礼物,帅哥多,美女多",移动前端开发,上海
165,广州虎牙科技有限公司,虎牙科技,2000人以上,上市公司,番禺区,ios高级开发工程师,3-5年,本科,25k-45k,大牛多，前景好,"游戏,MCN｜直播平台",开发|测试|运维类,"五险一金,年底双薪,午餐补助,带薪年假",移动前端开发,广州
166,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,海淀区,ios开发工程师,1-3年,本科,12k-16k,五险一金 带薪年假 年终奖金,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",移动前端开发,北京
167,上海席昌实业有限公司,上海席昌,150-500人,未融资,黄浦区,iOS工程师,不限,本科,35k-50k,待遇优,制造业,开发|测试|运维类,,移动前端开发,上海
168,上海悦易网络信息技术有限公司,爱回收,2000人以上,D轮及以上,杨浦区,高级ios开发工程师,5-10年,本科,25k-30k,准上市公司，领导Nice，重点项目,电商平台,开发|测试|运维类,"节日礼物,股票期权,专项奖金,带薪年假",移动前端开发,上海
169,重庆锐云科技有限公司,锐云科技,150-500人,未融资,渝北区,ios高级开发工程师,1-3年,本科,9k-15k,一个特别欢乐的团队,"数据服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,节日礼物,领导好",移动前端开发,重庆
170,杭州卡俄斯星科技有限公司,卡俄斯星,50-150人,未融资,滨江区,ios开发工程师,3-5年,本科,10k-16k,五险一金 带薪年假 高温补贴 团建补贴,IT技术服务｜咨询,开发|测试|运维类,,移动前端开发,杭州
171,上海纳纳科技有限公司,纳纳科技,50-150人,不需要融资,虹口区,ios开发工程师,3-5年,本科,15k-20k,平台好 业务稳 福利多 成长快 氛围佳,软件服务｜咨询,开发|测试|运维类,"年底双薪,专项奖金,交通补助,定期体检",移动前端开发,上海
172,广州久邦世纪科技有限公司,久邦GOMO,500-2000人,不需要融资,越秀区,ios开发工程师,1-3年,本科,10k-15k,五险一金、年度体检,"游戏,工具类产品",开发|测试|运维类,"扁平管理,弹性工作,带薪年假,绩效奖金",移动前端开发,广州
173,微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,海淀区,iOS开发工程师,3-5年,本科,25k-40k,大平台、成长空间、福利完善,社交媒体,开发|测试|运维类,"年底双薪,专项奖金,股票期权,五险一金",移动前端开发,北京
