,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
213,杭州绿云科技有限公司,绿云,500-2000人,C轮,西湖区,JAVA高级开发工程师,3-5年,本科,15k-25k,周末双休、带薪年假、股票期权、午餐补贴,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,节日礼物,技能培训,年度旅游",后端开发,杭州
214,广州新数智能科技有限公司,美业颜究院,50-150人,B轮,白云区,高级java开发工程师,5-10年,本科,15k-25k,职位晋升、五险一金、项目奖金、定期旅游,"数据服务｜咨询,营销服务｜咨询",开发|测试|运维类,"专项奖金,带薪年假,双休,六险一金",后端开发,广州
215,北京互连众信科技有限公司,资产360,2000人以上,C轮,朝阳区,java开发工程师,3-5年,本科,18k-25k,免费午餐供应、年终奖励、定期团建,金融,开发|测试|运维类,"带薪年假,统一午餐,五险一金,弹性工作",后端开发,北京
216,福州慧美丰科技有限公司,慧美丰科技,150-500人,A轮,雁塔区,java开发工程师,3-5年,本科,11k-20k,数字中国平台，挑战大项目，晋升通道好,"移动互联网,数据服务",开发|测试|运维类,"带薪年假,绩效奖金,专项奖金,年度旅游",后端开发,西安
217,广州阿凡提电子科技有限公司,阿凡提,50-150人,A轮,海珠区,JAVA高级开发工程师,5-10年,本科,18k-30k,技术团队 六险一金 弹性上下班 双休,电商平台,开发|测试|运维类,绩效奖金,后端开发,广州
218,北京优得网络科技有限公司,优得网络,50-150人,未融资,朝阳区,java开发工程师,3-5年,本科,14k-28k,五险一金，扁平化管理，团建,数据服务｜咨询,开发|测试|运维类,"带薪年假,年底双薪,弹性工作,节日礼物",后端开发,北京
219,北银金融科技有限责任公司,北银科技,150-500人,不需要融资,海淀区,java工程师,3-5年,本科,20k-40k,团队实力强,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,,后端开发,北京
220,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,雁塔区,java开发工程师,3-5年,本科,10k-18k,带薪年假,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,管理规范",后端开发,西安
221,深圳市汇合发展有限公司,汇合,2000人以上,不需要融资,洪山区,java开发工程师,3-5年,本科,10k-13k,5天工作制 年终奖 六险一金 有偿加班,科技金融,开发|测试|运维类,"绩效奖金,带薪年假,管理规范,五险一金",后端开发,武汉
222,餐道信息科技有限公司,餐道信息科技有限公司,150-500人,A轮,高新区,高级java开发工程师,5-10年,本科,20k-25k,双休、五险一金、免费体检、团建、晋升空间大,软件服务｜咨询,开发|测试|运维类,"节日礼物,年度旅游,定期体检,免费零食",后端开发,成都
223,深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,福田区,Java,1-3年,大专,10k-15k,双休五险一金年终奖定期体检年度旅游下午茶,IT技术服务｜咨询,开发|测试|运维类,"年底双薪,定期体检,绩效奖金,技能培训",后端开发,深圳
224,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,朝阳区,java高级开发工程师,不限,本科,17k-23k,平台大，发展前景好,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",后端开发,北京
225,北京中科闻歌科技股份有限公司,中科闻歌,150-500人,C轮,龙华新区,java开发工程师,3-5年,本科,15k-25k,五险一金、周末双休、餐补、体检、一年两次调薪,"数据服务｜咨询,信息安全",开发|测试|运维类,"股票期权,带薪年假,午餐补助,定期体检",后端开发,深圳
226,深圳市雁联技术服务有限公司,深圳雁联技术,500-2000人,不需要融资,徐汇区,java开发工程师,3-5年,本科,12k-20k,年终奖+高温补贴+年假+生日福利+加班调休,"IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,,后端开发,上海
227,杭州火烧云科技有限公司,婚礼纪,500-2000人,D轮及以上,西湖区,JAVA,3-5年,本科,12k-23k,六险一金 结婚礼包,生活服务,开发|测试|运维类,"六险一金,快乐高效文化,绩效奖金,信任",后端开发,杭州
228,深圳市阿卡索资讯股份有限公司,阿卡索外教网,2000人以上,C轮,罗湖区,java开发工程师,1-3年,大专,11k-15k,五险一金，美女如云,在线教育,开发|测试|运维类,"带薪年假,弹性工作,美女多,领导好",后端开发,深圳
229,广州新数智能科技有限公司,美业颜究院,50-150人,B轮,白云区,java开发工程师,1-3年,本科,8k-13k,职位晋升、五险一金、项目奖金、定期旅游,"数据服务｜咨询,营销服务｜咨询",开发|测试|运维类,"专项奖金,带薪年假,双休,六险一金",后端开发,广州
230,湖南嘿哈猫网络科技有限公司,嘿哈猫健身,50-150人,未融资,岳麓区,java开发工程师,3-5年,本科,8k-15k,周末双休，员工食堂,"体育,物联网",开发|测试|运维类,,后端开发,长沙市
231,瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,朝阳区,Java高级开发工程师,3-5年,本科,18k-35k,58集团总部,居住服务,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,五险一金",后端开发,北京
232,广州优盟网络信息有限公司,ChatLabs,50-150人,未融资,天河区,高级Java开发工程师,5-10年,本科,15k-25k,周末双休 氛围轻松 发展空间,营销服务｜咨询,开发|测试|运维类,"带薪年假,弹性工作,英语氛围浓厚,环境舒适",后端开发,广州
233,南京特望科技有限公司,特望,150-500人,未融资,海淀区,java工程师,3-5年,大专,14k-22k,发展好，晋升空间大，领导nice,IT技术服务｜咨询,开发|测试|运维类,"定期体检,管理规范,美女多,免费班车",后端开发,北京
